epoch,lr,train_loss,val_loss,val_snr_imp_scaled,val_snr_imp_strict,val_gain_bias,secs
1,0.000326,0.008847,0.004581,-0.135828,-0.699323,0.963371,33.336574
2,0.000659,0.003309,0.002445,1.021754,0.781999,0.975606,34.161229
3,0.000993,0.002357,0.002329,1.453431,1.205807,0.988965,34.316144
4,0.000999,0.002239,0.001823,2.090184,1.827179,1.017701,34.190507
5,0.000997,0.002013,0.001824,2.933446,2.755500,0.999693,34.377297
6,0.000993,0.001710,0.001795,2.840984,2.623017,1.009622,35.061304
7,0.000988,0.001801,0.001742,2.432631,2.301886,0.998807,34.534201
8,0.000981,0.001594,0.001717,2.860788,2.651482,1.013051,34.575398
9,0.000973,0.001589,0.001563,3.515573,3.347047,1.005987,34.442067
10,0.000963,0.001523,0.001980,2.141863,1.775811,1.036075,34.333228
11,0.000952,0.001683,0.001661,2.891441,2.743103,0.987910,34.386877
12,0.000940,0.001704,0.001677,2.911074,2.809669,0.994572,34.237874
13,0.000926,0.001635,0.001762,2.642230,2.215781,0.984415,35.048716
14,0.000911,0.001452,0.001462,3.323740,3.198189,0.998542,34.972285
15,0.000895,0.001464,0.001654,2.348259,2.159231,1.013919,34.879900
16,0.000877,0.001463,0.001460,3.500333,3.207303,1.016115,35.227225
17,0.000859,0.001452,0.001966,1.421310,1.243810,1.008952,34.424847
18,0.000839,0.001351,0.001575,3.041841,2.905783,1.005160,34.738004
19,0.000818,0.001392,0.001467,3.612188,3.472862,1.001821,34.316018
20,0.000797,0.001333,0.001758,2.589083,2.334884,1.018326,34.581736
21,0.000774,0.001364,0.002199,1.700034,1.515340,1.018788,33.990721
22,0.000751,0.001190,0.001436,3.919682,3.754958,1.002865,34.544100
23,0.000726,0.001129,0.001421,3.753257,3.643581,1.003515,34.464683
24,0.000701,0.001220,0.001879,2.372991,2.182364,1.024587,33.800190
25,0.000676,0.001223,0.001551,3.002480,2.877431,1.006809,33.741542
26,0.000650,0.001224,0.001517,3.236923,3.099463,1.008146,34.028838
27,0.000623,0.001155,0.001401,3.613849,3.477502,1.003730,34.023187
28,0.000596,0.001256,0.001498,2.917546,2.773717,1.008529,34.807670
29,0.000569,0.001089,0.001487,3.144619,2.936118,1.019788,34.325493
30,0.000542,0.001104,0.001449,3.496845,3.372390,1.008561,34.025680
31,0.000514,0.001106,0.001782,2.258507,2.010090,1.026220,35.008538
32,0.000487,0.001049,0.001477,3.360704,3.126845,1.020733,35.254761
33,0.000459,0.001102,0.001703,2.145146,2.005269,1.016338,34.870689
34,0.000432,0.001030,0.001477,3.247090,3.060554,1.018027,34.851597
